DepartureTime,FlightNumber,;#Flight Id,Category,Positions,Terminal,Ground Handler,MakeupUnit,MakeupOpening,MakeupClosing,AssignedCarousel,UnassignedReason
2040-12-05 19:00:00,TR2952,525,Wide,3,T2,TR,T5CW011L,2040-12-05 16:00:00,2040-12-05 18:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 19:00:00,TR78,345,Wide,3,T1,TR,T5CE010R,2040-12-05 16:00:00,2040-12-05 18:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 19:00:00,TR70,396,Wide,3,T2,TR,T5CW007R,2040-12-05 16:00:00,2040-12-05 18:30:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 19:10:00,TR2466,477,Wide,3,T2,TR,T5CW003R,2040-12-05 16:10:00,2040-12-05 18:40:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 19:15:00,TR1972,349,Wide,3,T1,TR,T5CE006,2040-12-05 16:15:00,2040-12-05 18:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 19:15:00,TR72,393,Wide,3,T2,TR,T5CW007L,2040-12-05 16:15:00,2040-12-05 18:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 19:15:00,TR2332,394,Wide,3,T1,TR,T5CE009R,2040-12-05 16:15:00,2040-12-05 18:45:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 19:20:00,TR3649,442,Wide,3,T2,TR,T5CW001L,2040-12-05 16:20:00,2040-12-05 18:50:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 19:25:00,TR90,498,Wide,3,T2,TR,T5CW011R,2040-12-05 16:25:00,2040-12-05 18:55:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
2040-12-05 19:30:00,TR68,597,Wide,3,T1,TR,T5CE009L,2040-12-05 16:30:00,2040-12-05 19:00:00,UNASSIGNED,TERMINAL_NOT_CONFIGURED
