DepartureTime,FlightNumber,;#Flight Id,Category,Positions,Terminal,Ground Handler,MakeupUnit,MakeupOpening,MakeupClosing,AssignedCarousel,UnassignedReason,OriginalCategory,FinalCategory,CategoryChanged,AssignedCarousels,SplitCount
2040-12-05 09:30:00,TR1988,355,Narrow,3,W,TR,T5CW011R,2040-12-05 07:00:00,2040-12-05 09:00:00,MUC105,,Narrow,Narrow,NO,MUC105,1
2040-12-05 09:35:00,TR2502,118,Narrow,3,W,TR,T5CW011L,2040-12-05 07:05:00,2040-12-05 09:05:00,MUC107,,Narrow,Narrow,NO,MUC107,1
2040-12-05 09:35:00,TR3603,117,Narrow,3,W,TR,T5CW001L,2040-12-05 07:05:00,2040-12-05 09:05:00,MUC106,,Narrow,Narrow,NO,MUC106,1
2040-12-05 09:45:00,TR2454,331,Narrow,3,W,TR,T5CW007L,2040-12-05 07:15:00,2040-12-05 09:15:00,MUC108,,Narrow,Narrow,NO,MUC108,1
2040-12-05 10:00:00,TR2308,188,Narrow,3,W,TR,T5CW003L,2040-12-05 07:30:00,2040-12-05 09:30:00,MUC109,,Narrow,Narrow,NO,MUC109,1
2040-12-05 10:00:00,TR2916,543,Narrow,3,E,TR,T5CE011L,2040-12-05 07:30:00,2040-12-05 09:30:00,MUC202,,Narrow,Narrow,NO,MUC202,1
2040-12-05 10:05:00,TR2182,149,Narrow,3,E,TR,T5CE002L,2040-12-05 07:35:00,2040-12-05 09:35:00,MUC203,,Narrow,Narrow,NO,MUC203,1
2040-12-05 10:10:00,TZ5501,134,Wide,7,W,TZ,T5CW009,2040-12-05 07:40:00,2040-12-05 09:40:00,MUC205,,Wide,Wide,NO,MUC205,1
2040-12-05 10:10:00,TZ5503,121,Wide,7,E,TZ,T5CE005,2040-12-05 07:40:00,2040-12-05 09:40:00,MUC204,,Wide,Wide,NO,MUC204,1
2040-12-05 10:15:00,TR2278,170,Narrow,3,E,TR,T5CE008R,2040-12-05 07:45:00,2040-12-05 09:45:00,MUC101,,Narrow,Narrow,NO,MUC101,1
2040-12-05 10:20:00,TR2154,152,Narrow,3,E,TR,T5CE011R,2040-12-05 07:50:00,2040-12-05 09:50:00,MUC204,,Narrow,Narrow,NO,MUC204,1
